type,case,txn_hash,sponsor_drain_eth,txn_cost_eth,result,user_quota,dapp_quota
secured,valid,​0x662e575651c35779c57677086d5db39c83ae79bee79b6af6490f760138fea461,​0.000110,​0.000003,Success,true,true
secured,valid,​0x46eaf4996ac3db1147b9dc85abc32b68aa7eafff412aba50f843a0aef828576b,​0.000110,​0.000004,Success,true,true
secured,valid,​0xbb80ba6b105e92acbb1cc153ab8c467c078a529b785650fcfa74f91023af0436,​0.000110,​0.000004,Success,true,true
secured,valid,​0x297ade6b448bb467409a1c01f14302e887668679b2fac549290456fd992b7270,​0.000110,​0.000004,Success,true,true
secured,valid,​0xb9e9ac03e6db02f19c207a453dc58be8333d2cfc75856710cfc5cb2a17ca1e17,​0.000110,​0.000004,Success,true,true
secured,valid,​0x72f5062ec9a968d61d3e1289db8b74203db1ba0c260102250a636d39f500aae6,​0.000110,​0.000004,Success,true,true
secured,valid,​0xab2e0ecb5c87eefe7e1f3fb8974d4f802be99f11676b4806e197993be8e18b9c,​0.000110,​0.000004,Success,true,true
secured,valid,​0xad790ce7a153f6c619f61666b2e8df031ecc276151b3e079a2ad0bbaa1ea708d,​0.000110,​0.000004,Success,true,true
secured,valid,​0x5e81e814bc553dd945c13233702bf7d85772350477ba3bf312af3867a6621976,​0.000110,​0.000003,Success,true,true
secured,valid,​0xc7f0bddf5ae18eae7e13480bdcbf3bd559329415b551f625f874c661cce55d38,​0.000110,​0.000003,Success,true,true
secured,valid,​0xec61c6abca64863478dcb96784c3a5c6efc885b567144daf1802b3d80568aaab,​0.000110,​0.000004,Success,true,true
secured,valid,​0xb06fa3e8105580b84d3fc50dcc665d1aa8a45b5a575193061c0514849b8e2e3d,​0.000110,​0.000004,Success,true,true
secured,valid,​0x8442637d047e99bea6b2e9f343994201ee98729e4ceea8a9777ac007c6489b6e,​0.000110,​0.000004,Success,true,true
secured,valid,​0xd100937b569091f1dc02424396d89624b4400fc7a0a7e6c0accb94a22210d2b3,​0.000110,​0.000003,Success,true,true
secured,valid,​0x0bf50e80dc516b9000c15fe9758c5ab51b315093c30080538d5ed67fe4750b14,​0.000110,​0.000003,Success,true,true
secured,valid,​0xdde8620cc68486a81abf089103b02da255d2ae00320c38221c998a3f4a761392,​0.000110,​0.000003,Success,true,true
secured,valid,​0x6ca41cfa96957df07c87d204ce3e3a50b2c3e2de8d32347b70d8ddc5a867ff31,​0.000110,​0.000003,Success,true,true
secured,valid,​0xdee1dfa49f1ece17118024fff2bf5e6b180641aca3c208466569ae07fc29ac56,​0.000110,​0.000003,Success,true,true
secured,valid,​0x44bea093177ae0f99d8fe3551c9540bcd21647f3bc2ca76e4c892a33fa452ac6,​0.000110,​0.000003,Success,true,true
secured,valid,​0x90533c628b19746db7401b6b1527f74b3f13ae91f97ec300004bc4fdf1b6120d,​0.000110,​0.000003,Success,true,true
secured,valid,​0xf5dbea4ae7b6828cf1333bb65c5f64d0636a9fc40f71e73558042aca7e975d43,​0.000110,​0.000004,Success,true,true
secured,valid,​0xdb3fbd0c9b1749b9616f5be4b67718c1043bed156aa03f81702c091f0843baa5,​0.000110,​0.000003,Success,true,true
secured,valid,​0x39eb4fb9bab7ea7413527c94e7679f9fa5eff85e16e410abd12d08cfa4464833,​0.000110,​0.000003,Success,true,true
secured,valid,​0xae5e4d1169fa7e221dd776797ab71342c649d4368ba644047cf4f309aca387c2,​0.000110,​0.000003,Success,true,true
secured,valid,​0x516e8f87e8b30bd82f17263c2569c066f4020d803d463ba60a6c0947f9be7219,​0.000110,​0.000003,Success,true,true
secured,valid,​0x10fb84b9da2371d6f0ad9f4900667c8b2ac5755db8137e9d801d168d44a0307d,​0.000110,​0.000003,Success,true,true
secured,valid,​0x80020ed311aee194aacab6551e9057209a6ca6e16ff2fb9926523533bab1d403,​0.000110,​0.000003,Success,true,true
secured,valid,​0xb37e3c8394555b8292d3a8f3eb7ad98722a5e44d79eb09e677cd813a55c1eb28,​0.000110,​0.000003,Success,true,true
secured,valid,​0xcd114dec8825ec3e6dc90ccffb9ae23a8a02ea18c61539b7650b7f93f07c1564,​0.000110,​0.000003,Success,true,true
secured,valid,​0x1ea313f03c704212dbf40f6c5f0bd4e8f72fac50ae2c18d9cf37bbbd1bcb8d3a,​0.000110,​0.000003,Success,true,true
secured,valid,​0x9000eb1df113490abb77eda5df57f6b4f1828f389169ee6b0e37f00d0b74d578,​0.000110,​0.000003,Success,true,true
secured,valid,​0xdf34d006066909a983c9b699adc8df711aa08dd62c0ef40efd98e662a89b03c7,​0.000110,​0.000003,Success,true,true
secured,valid,​0xf64046ce573cce36bf19ec411dcc2df5aa427ac2703f963a39fe0fe9a6a1ba4e,​0.000110,​0.000003,Success,true,true
secured,valid,​0x6c140318b3cc4a939d3f4c2c2f631d89be395d161eadd473fa9e6697ec16d4ec,​0.000110,​0.000003,Success,true,true
secured,valid,​0x7456db0831f29033dea262c2c630dd8d41b8a0dbddee2dedc2253b8120ce0300,​0.000109,​0.000003,Success,true,true
secured,valid,​0x35ef3f286c127806bb66cc324a5b371b93f16051f4f55c90367a9dcec601d545,​0.000110,​0.000004,Success,true,true
secured,valid,​0x60f5704f9e95c59c68940d59af622fe369b45966448591af34630b901b8a037a,​0.000110,​0.000003,Success,true,true
secured,valid,​0x10848809b6e630d18bb07bf23ee9ab5552c3043b0c01892ef4e322c548a62ff3,​0.000110,​0.000004,Success,true,true
secured,valid,​0x9af6e93fe4dcf74f611bf8baed668778248c9992c63e0c368aef685ebb65f6c6,​0.000110,​0.000003,Success,true,true
secured,valid,​0x14c5dbe700b81e6053fdb1ec2a206e289b3c5737f791622defe551ff33d4a3e2,​0.000110,​0.000003,Success,true,true
secured,valid,​0x200f3c75ffbaf9721f75eaac27bf790b4bdb28561d708f81360fbfb12a465e91,​0.000110,​0.000003,Success,true,true
secured,valid,​0xf9a1ee6554ebd5cb72ddc51405fd6679fab84e38431be7731086318ac9799c21,​0.000110,​0.000004,Success,true,true
secured,valid,​0x66a2934ddbbcac88b347bcdbe235d0d185e42dac735e166c4921b52a75488733,​0.000110,​0.000003,Success,true,true
secured,valid,​0x339470d3b58b15ce6e0d295e956d3ece27d226d89b7fadb333f4ea732befb60b,​0.000110,​0.000003,Success,true,true
secured,valid,​0x8b83c42d2de112b8576de881185e17acb82bde4d1c36d03abb4f76cd3e4dbc59,​0.000109,​0.000003,Success,true,true
secured,valid,​0xe2840a43ef9da3a8f62abcfc8983a07a5745eb796d3f190ad922ff83ebca83a9,​0.000109,​0.000003,Success,true,true
secured,valid,​0x0598673a25987c3667e917e9dcd66db3293ae783b442f330896fd9c4d09dc543,​0.000109,​0.000003,Success,true,true
secured,valid,​0xc8a5a559b7ace1eef5e21b540f9638352efb4b9e71df8bed9cf88904d7ae6465,​0.000109,​0.000003,Success,true,true
secured,valid,​0x33d068f7401d5718e2ad1325581a20607a41389cf949466dc7b9db9a00fae841,​0.000109,​0.000003,Success,true,true
secured,valid,​0x996614ae2d6c79950b754ad98499c7b0f910249b19bb8ea945a79ae168778000,​0.000109,​0.000003,Success,true,true
secured,valid,​0x070c1bc824832e2d91220027d5e6b0908e0e225b0def032d512bdb215b11cc6e,​0.000109,​0.000003,Success,true,true
secured,valid,​0x3b038c16448f7c495a44df9261a44da85aa2a02be7ea18f2699663d2f4191943,​0.000109,​0.000002,Success,true,true
secured,valid,​0x5feb1bba3e2c95f1e8ca43bd6f25d0a70b51dc8f6173f6996d60e2c5ba53f766,​0.000109,​0.000003,Success,true,true
secured,valid,​0xc78329a291afd0723d2b460f0fce0bbcb76f6b8a771f050e392aa03d26972eca,​0.000109,​0.000002,Success,true,true
secured,valid,​0x0fdc10b038234595ec2a3bdfc0d2997f7980fcc33f76a6c0354f670386e8ecf3,​0.000109,​0.000002,Success,true,true
secured,valid,​0x4b8f561bedc9152aa8092ca4540981aed954a6f9f7d3f4bd286fe90dbb0edcfe,​0.000109,​0.000003,Success,true,true
secured,valid,​0xef6601aee97883b3da5d85200a8db59a2f975c655a2f8e92449204c1ebc429b4,​0.000109,​0.000003,Success,true,true
secured,valid,​0xa27aa04593a80683cc1c3aea0a2db54a624bd394cf9782c46396881b0097f10d,​0.000109,​0.000003,Success,true,true
secured,valid,​0x92bb6b2db84c4c7eaa18ec11e6eda2f1d81d1e69a0027bdf2c16d338d633cbd6,​0.000109,​0.000003,Success,true,true
secured,valid,​0x5e50fe9a72354c5acbde66a0ea5c2850da2fb4c7bf5c8736afc04e689f02e43e,​0.000109,​0.000002,Success,true,true
secured,valid,​0xc24267af69df34f57b94802cc07b57226cb07855b03edeba4f1e589d9ae27722,​0.000109,​0.000002,Success,true,true
secured,valid,​0xbd45ce1d1df3c78390cd24efec9ec7a38798779f391d6265dc2a6d6175b9d2c3,​0.000109,​0.000003,Success,true,true
secured,valid,​0x0365d3bed144d650e1f399dec3dfe4ff9f4d258d46c9ff3ff7198aa34dbd69f3,​0.000109,​0.000002,Success,true,true
secured,valid,​0xf04bd7aa9e452fc3f2d0e2dcd32e0f0a40e0461dee390d804fe32aa011da2bc7,​0.000109,​0.000002,Success,true,true
baseline,valid,​0x0b8242b0579f352c1332e92fcde0f5cf14693d647b44168172617892cdc248ff,​0.000068,​0.000001,Success,true,true
baseline,valid,​0xa72a158fdebb4e4bc3941852fdba0afaf82a078363b4315fb1d554e7fc28b262,​0.000068,​0.000001,Success,true,true
baseline,valid,​0xdc7c7134fabe4ac0c7c5b6a57f59e9d0d771d55e959901a204e49612bbbe8d97,​0.000068,​0.000001,Success,true,true
baseline,valid,​0x328eff9a7c87474c3c487e6cb04b3fd2ed9544567467ca396eba5618bb9698a7,​0.000068,​0.000001,Success,true,true
baseline,valid,​0x5a88dc6a24503ffd75c3c12c406a16f3663a41a39b53a126b2b6b5cdfcfdf907,​0.000068,​0.000001,Success,true,true
baseline,valid,​0xf06ddfd2546f74f9611135912d05b324191b0eedc5cecb7ee9035084c71c209f,​0.000068,​0.000001,Success,true,true
baseline,valid,​0xba558b8b54b3084af013d361224fd739fa48fa8ecbf27bd661a035a9f86f19a1,​0.000068,​0.000001,Success,true,true
baseline,valid,​0xa5f38f6ed5958c11864db432f6134c7183727502b99f1d5c5d0a93c9c75bf686,​0.000068,​0.000001,Success,true,true
baseline,valid,​0x02db3018d40084ab67bfa7a81be5d100b03192f33175bf32c0331b26e766b7ed,​0.000068,​0.000001,Success,true,true
baseline,valid,​0x6ccd6e85bbdd46db9cb17699506fc403f0482fd0d804cbe8a1285a547a8ea60b,​0.000068,​0.000002,Success,true,true
baseline,valid,​0xffc9e105987f651dca06bad9456c0b06efaf45ff0ae52869eb321f9137451044,​0.000068,​0.000001,Success,true,true
baseline,valid,​0xc412e1132fbacc1364f25ca255f9a48ef6b44bd8111caae0f22dd7d65aab727c,​0.000068,​0.000001,Success,true,true
baseline,valid,​0xe8bd7dcb6317c6a05ae3e40d23e06f616f71811d90019b400f8027c4a7aca81e,​0.000068,​0.000002,Success,true,true
baseline,valid,​0x93f190433d7b66c2ed188d8b88f274d40d4e4247c8a2c33dd715992132166aa9,​0.000068,​0.000001,Success,true,true
baseline,valid,​0xe68d92315ddc4322b5cd0cdf7a1d30762c0d8a1ca46b044163135d0df91936bb,​0.000068,​0.000002,Success,true,true
baseline,valid,​0x1227bd8648e87782aec60adf87ea4469afc6b2fe811cef015253aab33339583f,​0.000068,​0.000001,Success,true,true
baseline,valid,​0xebbb5ce096fcd5bb258f33b14eb9b232d91959b15d25604d66ef77e6e272b8f5,​0.000068,​0.000002,Success,true,true
baseline,valid,​0xb26250d7c7ab7d5c21b81d4161309e724a91aca44a77fb1b1e211363192d904a,​0.000068,​0.000001,Success,true,true
baseline,valid,​0x1c17f2eb1f2b4ee7d6f1aae7533f4c8ee6be729496a65398e25623c97c4bef94,​0.000068,​0.000001,Success,true,true
baseline,valid,​0xed4299d3bbc3b6db391fac08b0aa2488d7eb09cd8e2c88fbb828a0fc7c4bb2ac,​0.000068,​0.000002,Success,true,true
baseline,valid,​0xb880faa131ce9160ebbaac4b5918fa4396debe2687c97e9bd82c1ccef6281751,​0.000068,​0.000001,Success,true,true
baseline,valid,​0x3e9bc5dcde423160b1ef86356aa2788fbf5b513ec1d1f0232a24880d743400d4,​0.000068,​0.000002,Success,true,true
baseline,valid,​0x6d250f2d27f1d9d2706a020196f2a80d09b5569cbb7e521e711421bf9682f473,​0.000069,​0.000002,Success,true,true
baseline,valid,​0xde73f348b340fb9696d927e88b7686b729ca8ff974cf0c2bb87212c4d0e21cfc,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x3931819784dadd709dc9eb3a4e1c62783377265504f4cd478b5a770c678eb869,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x247b28a5858f3b61a8ed40ee30d180815b5205a5554d58a1558aa88ab43e2234,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x7f4a47b1e557be51462e269562e7f14e5d26eb98046161a6c9b4200fc7db5f04,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x57a755d52c7972997d8f0cc9838f35a1a49db29d26d9a078cc48049f313fd16c,​0.000069,​0.000002,Success,true,true
baseline,valid,​0xf54de8436cddda03f83e4b223f76cd9c74a3bdacf9ef7d41920eb2dfc2469cc3,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x0ec1023757f820710c02c1f529595211da7be3aab7ab45b0b3f6ca35524715fc,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x311e9cf807a88291225ecfb624ae9e419aca63b103a75a3366b08cffc485698d,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x45bd8d86600f4f5adf6cb7a093ae72b2c30272064173365ef790f4ae1f8903dc,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x0c24d249bc240302abb3c736e7a869b48d203b0279a2c11c6153410b08cbecbc,​0.000069,​0.000002,Success,true,true
baseline,valid,​0xa7b3a3ead7970bdc706d244007a1a27b7245fcc99c01014cdb9c7734db408c07,​0.000069,​0.000002,Success,true,true
baseline,valid,​0xd36d8cbc15c1ef99cb72fdaf1db717d84bd647f0523753924405ff6b3bfa0328,​0.000069,​0.000002,Success,true,true
baseline,valid,​0xbd3ef641d5daf5b714edffc21c9bd198c54530358fa8a3be17a68734d04b5f51,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x977e92d01ae45f09ad500de3943b621f2d15550eca36aecff715194e20ee855f,​0.000069,​0.000002,Success,true,true
baseline,valid,​0xcf28a969b3ca1d33f2922a80184e9d5ba22621bd2cba05b40ab01d713794a420,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x0ed8af249a6626ce8a1369972321998f3a16f31ca250d1452b64d121a9f73ea0,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x93c4450af96b7fbed8b0318b744c437bc19ad8cbfb844343c064c3e1aa6cb48d,​0.000069,​0.000002,Success,true,true
baseline,valid,​0xc8d61db5922b6fd5cc98eb5bb671a383804463195aa0064ff9d1b40abcb253d2,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x05fb4c09cb776753aa9bf7033ddcee3a621976a64edba616323c936140386ff7,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x35a975ae8d688b53e45719a901b86cabee6333937f654fba90e9f39b9af2da2c,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x4a34da997d942e39da7146d110a1867307ed3fe3094b7203d5a74c5f4cab0db5,​0.000069,​0.000003,Success,true,true
baseline,valid,​0x80b106cdf4149c4092aa6b55a009b62b12c07d94afa5c342f206125d20ae70b3,​0.000069,​0.000002,Success,true,true
baseline,valid,​0xdc17f95d195a73469438abaa3566979c7ddfd1bb51db1c856f9ed42c1c5da65d,​0.000069,​0.000002,Success,true,true
baseline,valid,​0xc9f7e7ef09a5a29480489146a5183e3a668a762eb3e67c240c817f79a8fe364e,​0.000069,​0.000002,Success,true,true
baseline,valid,​0xa82c5a92fe544e0aa17fa68d97b8a92f6717477f55cc9247001df83ad19b6d74,​0.000069,​0.000002,Success,true,true
baseline,valid,​0xe06db7253197e35f872c74e9fb40d3fc989ab8268ce06e8eebbc05ea4e26cba9,​0.000069,​0.000003,Success,true,true
baseline,valid,​0x15d0b56274d6fa982c763c93e94467dd1dacfcc42918d98cd9deae462de86bc3,​0.000069,​0.000003,Success,true,true
baseline,valid,​0xe52d6f50f4c84aa18e170ac51b7a78fac819a12b05d042cf3bce8c3e1712f6fe,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x768e10b6886153fc624e67926074c688e60e54ab6e2360b058367ac8879a99c6,​0.000069,​0.000003,Success,true,true
baseline,valid,​0x8d3e9062515411ff06b8e65103f0ff90ee8279ff682c40befc90ea745d3971c2,​0.000069,​0.000003,Success,true,true
baseline,valid,​0x8a5c34dc7a470f514aa6fa85ba3ed97ac31f969dc90a3477e0d00362f2ab9099,​0.000069,​0.000002,Success,true,true
baseline,valid,​0xc37e49e2cb359ba7d2c20fe6b9fc85dcefae0f4cbcede241a454c1ce70084935,​0.000069,​0.000003,Success,true,true
baseline,valid,​0xbc7b0efa40ca562dedb05ec19ea7dcfd465dd760d74fd9e410f79f3c6be9b336,​0.000070,​0.000003,Success,true,true
baseline,valid,​0x0af0a767793dcbf314cecac19f9fa1053a2997b58e97fe3929e8203e92f240a8,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x79987811cee06ae8b39bfdcf4d84b243a205177d053c4e18e0dd08349f54423e,​0.000069,​0.000003,Success,true,true
baseline,valid,​0x9527eabfb6aea7ad759082daf54134cf7a13196fc834a43e5615cc342b43ef3e,​0.000070,​0.000003,Success,true,true
baseline,valid,​0x8341ff4c850a79639a2edc49773123c54539c64d77cef79f3ee0f1063b985664,​0.000070,​0.000003,Success,true,true
baseline,valid,​0xbaddf8e77932652238a6b1b3c41ad4c75baebebbd312b4344eec87f18a832591,​0.000069,​0.000002,Success,true,true
baseline,valid,​0xd2e2eea53933dac069a7e10a57c743e61baa7ef33c432df137ae9ea4b30e706e,​0.000069,​0.000003,Success,true,true
baseline,valid,​0x0eef285097e727adbcf5d58bcec09366f72743287798a737fb9479c69c570e2d,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x1eaf90152bd9c0690cc9e0d0226fd0177a053412fe55aa29875d42392016306a,​0.000069,​0.000003,Success,true,true
baseline,valid,​0x0054704222b6789ea62aefff5316f372b19d73c9e62cf7577a0bcd39a98af0c2,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x29a91312fec83da8ad083e20e1422ce2848038e79bd0e34d3201234f05c48788,​0.000069,​0.000003,Success,true,true
baseline,valid,​0xdb73c97568a475e9aa547dc7e6af8b545e7dc780675c0eea9c6c8fe29df75076,​0.000070,​0.000003,Success,true,true
baseline,valid,​0x3355a8ca25bcc13f25313d53e0c1dfaf4f9baca655d5c986e9aa1f62ea334bbf,​0.000070,​0.000003,Success,true,true
baseline,valid,​0x214ee334dc2f7de322d1640c8293a4f8542ea9d73442bce1d8f8861e888c4735,​0.000070,​0.000003,Success,true,true
baseline,valid,​0x7f210ae3073820aa6421ac3b0103a49297c67392599e1764ace94f06c1e3f83f,​0.000069,​0.000003,Success,true,true
baseline,valid,​0x92e0eca78e3c87c07cb9d1f2aff05a7b1c73c65cee60ab5c651a3df1a56762d2,​0.000070,​0.000003,Success,true,true
baseline,valid,​0x0904b649f9d7d0b30d2537e423941bb8b0026116174465077f4256e9718ef2c2,​0.000070,​0.000003,Success,true,true
baseline,valid,​0xf5f4ec636c4dd87edec4bed38e8121c998f422633b0da1b1f36b81150d4ea938,​0.000070,​0.000003,Success,true,true
baseline,valid,​0x52ba05d2f44ea2544b268f989464d11a6d10a66021b674feb493a85e5fd198db,​0.000070,​0.000003,Success,true,true
baseline,valid,​0xbddc55e92eec6e1798d97898e80dded5bb0165b812055d603f35244882bdf815,​0.000070,​0.000002,Success,true,true
baseline,valid,​0x6d75e78cbe08a86b743f6cd0df5b6e675d23323aaa663f4d3db02a1c1cc7621d,​0.000070,​0.000003,Success,true,true
baseline,valid,​0x92f8d6a3adddddf6fc4106814f94872d63b5424e6fe21bafaf0f516b795161e2,​0.000070,​0.000003,Success,true,true
baseline,valid,​0x16a94a4a40e03788db98d755a0ff4b2718ec973c32d4e1848f24163eeb31c5a7,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x52501a2341171a89d156910baa7aa42ca04af98e4aaaf1a951759cc94e569f1a,​0.000070,​0.000003,Success,true,true
baseline,valid,​0xd144d7aa433829143905aa7043e8abae5bd820e49610e0aadf94ed3027ceaee6,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x94c6c2e9f49fa8f10c0d63951fa3c0aeb3d8c75808dff76d81d22d592ad69cea,​0.000069,​0.000003,Success,true,true
baseline,valid,​0x3113f060a84e0bbc57417e3db76a6fb480b053fc0bc52d8d817072d7f52e37c3,​0.000070,​0.000002,Success,true,true
baseline,valid,​0x486785055cbf0fd641a5b94e42646cecdc583bc85f6ff09bd4be838e10f5c833,​0.000070,​0.000002,Success,true,true
baseline,valid,​0xeeeb1b5d0c5b69c10adc40f1fb5bec787469f8335d1d8cb8fb323a2f686d14f3,​0.000070,​0.000003,Success,true,true
baseline,valid,​0x41dd9d45c5639b04406495d6372775abaf4a5cef781cdcc8b27ee0f5c4b9db6f,​0.000070,​0.000003,Success,true,true
baseline,valid,​0x718ff1a129ccc585e4d13154522ba0ef9453e5fb498435aaec3af5ceeabde86a,​0.000070,​0.000002,Success,true,true
baseline,valid,​0x7ad5b2fe3bf4830aaf8a5fba9d9dfb914fdbc1a2670200f9f5c280aeebe9cffa,​0.000070,​0.000003,Success,true,true
baseline,valid,​0x3a9d77fdfead3f78cca70dc7401c7012d71132d961b0f3a108ca6d729dce9708,​0.000070,​0.000003,Success,true,true
baseline,valid,​0x0b27411a6cf236b9de4b140cc768f1ec65d90b6c1b28e895c94a8bdac1b6b1c1,​0.000070,​0.000003,Success,true,true
baseline,valid,​0xf98f886d0d9547ab0175307517c37fe778e1bbecbc22bd0fd0ec1671b40f474f,​0.000070,​0.000003,Success,true,true
baseline,valid,​0x9b2c93dd401d9659afc5fdf0b914b4555c4d3f0cc43bfb046728187021a154fa,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x255df843a2b8db6a542cef0bdf05d2194fc47d7a71cb4172bf00c8723f5c073f,​0.000070,​0.000003,Success,true,true
baseline,valid,​0x6fff7c93d3cb32c525d951bd29094a1c39d88359b4eab0add00d8983775aeeaf,​0.000069,​0.000002,Success,true,true
baseline,valid,​0x321028de49d6d626e70b337d5ec5c821a7e63661ebde37cea63caa84eceaf969,​0.000069,​0.000003,Success,true,true
baseline,valid,​0xa6aadc1afcd5e16a817a42da5517ca416616c3a1a94396d0a7886da8d236c33c,​0.000070,​0.000003,Success,true,true
